Performing system checks...

System check identified no issues (0 silenced).
June 10, 2015 - 17:33:43
Django version 1.8.2, using settings 'BGPInspector.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.
         258486 function calls (251489 primitive calls) in 355.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:410(__contains__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:418(keys)
       42    0.000    0.000    0.000    0.000 _collections_abc.py:422(items)
       39    0.000    0.000    0.000    0.000 _collections_abc.py:426(values)
       86    0.000    0.000    0.000    0.000 _collections_abc.py:443(__init__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:446(__len__)
      109    0.000    0.000    0.000    0.000 _collections_abc.py:462(__iter__)
      573    0.000    0.000    0.001    0.000 _collections_abc.py:483(__iter__)
      216    0.000    0.000    0.000    0.000 _collections_abc.py:498(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:554(clear)
       96    0.000    0.000    0.002    0.000 _collections_abc.py:562(update)
       52    0.000    0.000    0.000    0.000 _compat_pickle.py:136(<genexpr>)
       59    0.000    0.000    0.000    0.000 _compat_pickle.py:137(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        1    0.000    0.000    0.001    0.001 _markupbase.py:6(<module>)
        1    0.000    0.000    0.007    0.007 _os.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _os.py:16(WindowsError)
        9    0.000    0.000    0.000    0.000 _os.py:42(upath)
        8    0.000    0.000    0.000    0.000 _os.py:51(npath)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:261(Compat32)
        1    0.000    0.000    0.000    0.000 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       83    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       58    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      396    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       49    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       21    0.001    0.000    0.002    0.000 abc.py:132(__new__)
       21    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        5    0.000    0.000    0.000    0.000 abc.py:151(register)
      178    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
    43/10    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
       51    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 actions.py:3(<module>)
        3    0.000    0.000    0.007    0.002 admin.py:1(<module>)
